altitude[km]	temperature[k]	pressure[hPa]	depth[mg/cm2]	density[mg/cm3]	ndensity[#/cm3]	Hydrogen[%mass]	Helium[%mass]	Oxygen[%mass]	Nitrogen[%mass]	Argon[%mass]
492.3	1289.46	6.39461e-09	7.44875e-07	1.02144e-12	3.59097e+07		0.00485647	0.232482	79.5712	20.1892	0.00221312
492.2	1289.46	6.40327e-09	7.55096e-07	1.02291e-12	3.59584e+07		0.00484992	0.232224	79.5584	20.2023	0.00221695
492.1	1289.46	6.41194e-09	7.65333e-07	1.02437e-12	3.60072e+07		0.00484337	0.231965	79.5457	20.2153	0.00222079
492	1289.46	6.42063e-09	7.75584e-07	1.02584e-12	3.6056e+07		0.00483683	0.231707	79.5329	20.2283	0.00222464
491.9	1289.45	6.42933e-09	7.8585e-07	1.02731e-12	3.61049e+07		0.0048303	0.231449	79.5201	20.2414	0.0022285
491.8	1289.45	6.43804e-09	7.9613e-07	1.02878e-12	3.61539e+07		0.00482377	0.231191	79.5073	20.2544	0.00223236
491.7	1289.45	6.44676e-09	8.06425e-07	1.03025e-12	3.62029e+07		0.00481726	0.230934	79.4945	20.2675	0.00223622
491.6	1289.45	6.4555e-09	8.16735e-07	1.03173e-12	3.6252e+07		0.00481075	0.230676	79.4817	20.2806	0.0022401
491.5	1289.45	6.46425e-09	8.2706e-07	1.03321e-12	3.63012e+07		0.00480425	0.230419	79.4689	20.2937	0.00224398
491.4	1289.45	6.47301e-09	8.37399e-07	1.03469e-12	3.63504e+07		0.00479776	0.230162	79.456	20.3068	0.00224787
491.3	1289.44	6.48179e-09	8.47753e-07	1.03617e-12	3.63998e+07		0.00479127	0.229906	79.4432	20.3199	0.00225176
491.2	1289.44	6.49057e-09	8.58123e-07	1.03765e-12	3.64491e+07		0.0047848	0.22965	79.4303	20.333	0.00225566
491.1	1289.44	6.49937e-09	8.68507e-07	1.03914e-12	3.64986e+07		0.00477833	0.229394	79.4175	20.3461	0.00225957
491	1289.44	6.50819e-09	8.78905e-07	1.04063e-12	3.65482e+07		0.00477187	0.229138	79.4046	20.3592	0.00226348
490.9	1289.44	6.51701e-09	8.89319e-07	1.04212e-12	3.65978e+07		0.00476542	0.228882	79.3917	20.3724	0.0022674
490.8	1289.44	6.52585e-09	8.99748e-07	1.04362e-12	3.66475e+07		0.00475897	0.228627	79.3788	20.3855	0.00227133
490.7	1289.43	6.5347e-09	9.10192e-07	1.04512e-12	3.66972e+07		0.00475254	0.228372	79.3659	20.3987	0.00227526
