\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	1.701 km
	latitude :	-45
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{1.701}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	78.499	137.1	0.6880E-01	0.2500E-05	0.957	0.027	0.016
	78.399	137.2	0.6973E-01	0.2533E-05	0.957	0.027	0.016
	78.299	137.3	0.7067E-01	0.2566E-05	0.957	0.027	0.016
	78.199	137.3	0.7163E-01	0.2600E-05	0.957	0.027	0.016
	78.099	137.4	0.7260E-01	0.2634E-05	0.957	0.027	0.016
	77.999	137.5	0.7358E-01	0.2668E-05	0.957	0.027	0.016
	77.899	137.5	0.7458E-01	0.2703E-05	0.957	0.027	0.016
	77.799	137.6	0.7559E-01	0.2739E-05	0.957	0.027	0.016
	77.699	137.7	0.7665E-01	0.2777E-05	0.957	0.027	0.016
	77.599	137.8	0.7787E-01	0.2824E-05	0.957	0.027	0.016
	77.499	138.0	0.7910E-01	0.2872E-05	0.957	0.027	0.016
	77.399	138.1	0.8036E-01	0.2921E-05	0.957	0.027	0.016
	77.299	138.3	0.8163E-01	0.2971E-05	0.957	0.027	0.016
	77.199	138.4	0.8293E-01	0.3021E-05	0.957	0.027	0.016
	77.099	138.6	0.8424E-01	0.3073E-05	0.957	0.027	0.016
	76.999	138.7	0.8558E-01	0.3125E-05	0.957	0.027	0.016
	76.899	138.9	0.8694E-01	0.3178E-05	0.957	0.027	0.016
	76.799	139.0	0.8832E-01	0.3232E-05	0.957	0.027	0.016
	76.699	139.2	0.8972E-01	0.3287E-05	0.957	0.027	0.016
	76.599	139.4	0.9114E-01	0.3344E-05	0.957	0.027	0.016
	76.499	139.5	0.9259E-01	0.3401E-05	0.957	0.027	0.016
	76.399	139.7	0.9406E-01	0.3459E-05	0.957	0.027	0.016
	76.299	139.8	0.9555E-01	0.3518E-05	0.957	0.027	0.016
	76.199	140.0	0.9707E-01	0.3578E-05	0.957	0.027	0.016
	76.099	140.1	0.9861E-01	0.3639E-05	0.957	0.027	0.016
	75.999	140.3	0.1002	0.3701E-05	0.957	0.027	0.016
	75.899	140.4	0.1018	0.3765E-05	0.957	0.027	0.016
	75.799	140.6	0.1034	0.3829E-05	0.957	0.027	0.016
	75.699	140.7	0.1050	0.3894E-05	0.957	0.027	0.016
	75.599	140.9	0.1067	0.3961E-05	0.957	0.027	0.016
	75.499	141.0	0.1084	0.4029E-05	0.957	0.027	0.016
	75.399	141.2	0.1101	0.4098E-05	0.957	0.027	0.016
	75.299	141.3	0.1118	0.4168E-05	0.957	0.027	0.016
	75.199	141.5	0.1136	0.4240E-05	0.957	0.027	0.016
	75.099	141.7	0.1154	0.4313E-05	0.957	0.027	0.016
	74.999	141.8	0.1173	0.4387E-05	0.957	0.027	0.016
	74.899	141.8	0.1189	0.4448E-05	0.957	0.027	0.016
	74.799	141.8	0.1206	0.4510E-05	0.957	0.027	0.016
	74.699	141.8	0.1223	0.4574E-05	0.957	0.027	0.016
	74.599	141.8	0.1240	0.4638E-05	0.957	0.027	0.016
	74.499	141.8	0.1257	0.4703E-05	0.957	0.027	0.016
	74.399	141.8	0.1275	0.4768E-05	0.957	0.027	0.016
	74.299	141.8	0.1293	0.4835E-05	0.957	0.027	0.016
	74.199	141.9	0.1311	0.4903E-05	0.957	0.027	0.016
	74.099	141.9	0.1329	0.4972E-05	0.957	0.027	0.016
	73.999	141.9	0.1348	0.5041E-05	0.957	0.027	0.016
	73.899	141.9	0.1367	0.5112E-05	0.957	0.027	0.016
	73.799	141.9	0.1386	0.5184E-05	0.957	0.027	0.016
	73.699	141.9	0.1406	0.5256E-05	0.957	0.027	0.016
	73.599	141.9	0.1425	0.5330E-05	0.957	0.027	0.016
	73.499	141.9	0.1445	0.5405E-05	0.957	0.027	0.016
	73.399	141.9	0.1466	0.5480E-05	0.957	0.027	0.016
	73.299	141.9	0.1486	0.5557E-05	0.957	0.027	0.016
	73.199	141.9	0.1507	0.5635E-05	0.957	0.027	0.016
	73.099	141.9	0.1528	0.5714E-05	0.957	0.027	0.016
	72.999	141.9	0.1550	0.5794E-05	0.957	0.027	0.016
