\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	-2.4914 km
	latitude :	0
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{-2.4914}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	78.299	134.2	0.5953E-01	0.2213E-05	0.957	0.027	0.016
	78.199	134.3	0.6036E-01	0.2242E-05	0.957	0.027	0.016
	78.099	134.3	0.6120E-01	0.2272E-05	0.957	0.027	0.016
	77.999	134.4	0.6205E-01	0.2302E-05	0.957	0.027	0.016
	77.899	134.5	0.6291E-01	0.2332E-05	0.957	0.027	0.016
	77.799	134.6	0.6379E-01	0.2363E-05	0.957	0.027	0.016
	77.699	134.8	0.6466E-01	0.2394E-05	0.957	0.027	0.016
	77.599	135.1	0.6549E-01	0.2424E-05	0.957	0.027	0.016
	77.499	135.5	0.6633E-01	0.2454E-05	0.957	0.027	0.016
	77.399	135.8	0.6718E-01	0.2484E-05	0.957	0.027	0.016
	77.299	136.2	0.6804E-01	0.2515E-05	0.957	0.027	0.016
	77.199	136.5	0.6892E-01	0.2546E-05	0.957	0.027	0.016
	77.099	136.9	0.6980E-01	0.2577E-05	0.957	0.027	0.016
	76.999	137.2	0.7070E-01	0.2609E-05	0.957	0.027	0.016
	76.899	137.6	0.7161E-01	0.2642E-05	0.957	0.027	0.016
	76.799	137.9	0.7253E-01	0.2675E-05	0.957	0.027	0.016
	76.699	138.3	0.7346E-01	0.2708E-05	0.957	0.027	0.016
	76.599	138.6	0.7440E-01	0.2742E-05	0.957	0.027	0.016
	76.499	139.0	0.7536E-01	0.2776E-05	0.957	0.027	0.016
	76.399	139.3	0.7632E-01	0.2810E-05	0.957	0.027	0.016
	76.299	139.7	0.7730E-01	0.2846E-05	0.957	0.027	0.016
	76.199	140.0	0.7830E-01	0.2881E-05	0.957	0.027	0.016
	76.099	140.4	0.7930E-01	0.2917E-05	0.957	0.027	0.016
	75.999	140.7	0.8032E-01	0.2954E-05	0.957	0.027	0.016
	75.899	141.1	0.8135E-01	0.2991E-05	0.957	0.027	0.016
	75.799	141.5	0.8240E-01	0.3028E-05	0.957	0.027	0.016
	75.699	141.8	0.8345E-01	0.3066E-05	0.957	0.027	0.016
	75.599	142.2	0.8453E-01	0.3105E-05	0.957	0.027	0.016
	75.499	142.5	0.8561E-01	0.3144E-05	0.957	0.027	0.016
	75.399	142.9	0.8671E-01	0.3184E-05	0.957	0.027	0.016
	75.299	143.2	0.8782E-01	0.3224E-05	0.957	0.027	0.016
	75.199	143.6	0.8895E-01	0.3264E-05	0.957	0.027	0.016
	75.099	143.9	0.9009E-01	0.3306E-05	0.957	0.027	0.016
	74.999	144.3	0.9125E-01	0.3347E-05	0.957	0.027	0.016
	74.899	144.3	0.9249E-01	0.3392E-05	0.957	0.027	0.016
	74.799	144.4	0.9375E-01	0.3437E-05	0.957	0.027	0.016
	74.699	144.4	0.9503E-01	0.3482E-05	0.957	0.027	0.016
	74.599	144.5	0.9633E-01	0.3529E-05	0.957	0.027	0.016
	74.499	144.5	0.9764E-01	0.3575E-05	0.957	0.027	0.016
	74.399	144.6	0.9897E-01	0.3623E-05	0.957	0.027	0.016
	74.299	144.7	0.1003	0.3671E-05	0.957	0.027	0.016
	74.199	144.7	0.1017	0.3720E-05	0.957	0.027	0.016
	74.099	144.8	0.1031	0.3769E-05	0.957	0.027	0.016
	73.999	144.8	0.1045	0.3819E-05	0.957	0.027	0.016
	73.899	144.9	0.1059	0.3870E-05	0.957	0.027	0.016
	73.799	144.9	0.1073	0.3921E-05	0.957	0.027	0.016
	73.699	145.0	0.1088	0.3973E-05	0.957	0.027	0.016
	73.599	145.0	0.1103	0.4026E-05	0.957	0.027	0.016
	73.499	145.1	0.1118	0.4079E-05	0.957	0.027	0.016
	73.399	145.1	0.1133	0.4133E-05	0.957	0.027	0.016
	73.299	145.2	0.1149	0.4188E-05	0.957	0.027	0.016
	73.199	145.3	0.1164	0.4243E-05	0.957	0.027	0.016
	73.099	145.3	0.1180	0.4300E-05	0.957	0.027	0.016
	72.999	145.4	0.1196	0.4357E-05	0.957	0.027	0.016
	72.899	145.4	0.1212	0.4415E-05	0.957	0.027	0.016
	72.799	145.5	0.1229	0.4473E-05	0.957	0.027	0.016
	72.699	145.5	0.1246	0.4533E-05	0.957	0.027	0.016
	72.599	145.6	0.1263	0.4593E-05	0.957	0.027	0.016
	72.499	145.6	0.1280	0.4654E-05	0.957	0.027	0.016
	72.399	145.7	0.1297	0.4715E-05	0.957	0.027	0.016
	72.299	145.8	0.1315	0.4778E-05	0.957	0.027	0.016
	72.199	145.8	0.1333	0.4841E-05	0.957	0.027	0.016
	72.099	145.9	0.1351	0.4906E-05	0.957	0.027	0.016
	71.999	145.9	0.1370	0.4971E-05	0.957	0.027	0.016
	71.899	146.0	0.1388	0.5037E-05	0.957	0.027	0.016
	71.799	146.0	0.1407	0.5103E-05	0.957	0.027	0.016
	71.699	146.1	0.1426	0.5171E-05	0.957	0.027	0.016
	71.599	146.1	0.1446	0.5240E-05	0.957	0.027	0.016
	71.499	146.2	0.1465	0.5309E-05	0.957	0.027	0.016
	71.399	146.2	0.1485	0.5380E-05	0.957	0.027	0.016
	71.299	146.3	0.1506	0.5451E-05	0.957	0.027	0.016
	71.199	146.4	0.1526	0.5523E-05	0.957	0.027	0.016
	71.099	146.4	0.1547	0.5597E-05	0.957	0.027	0.016
	70.999	146.5	0.1568	0.5671E-05	0.957	0.027	0.016
	70.899	146.5	0.1589	0.5746E-05	0.957	0.027	0.016
	70.799	146.6	0.1611	0.5823E-05	0.957	0.027	0.016
	70.700	146.6	0.1633	0.5900E-05	0.957	0.027	0.016
	70.600	146.7	0.1655	0.5978E-05	0.957	0.027	0.016
	70.500	146.7	0.1678	0.6057E-05	0.957	0.027	0.016
	70.400	146.8	0.1701	0.6138E-05	0.957	0.027	0.016
	70.300	146.8	0.1724	0.6219E-05	0.957	0.027	0.016
	70.200	146.9	0.1747	0.6302E-05	0.957	0.027	0.016
	70.100	147.0	0.1771	0.6385E-05	0.957	0.027	0.016
	70.000	147.0	0.1795	0.6470E-05	0.957	0.027	0.016
	69.900	147.0	0.1820	0.6557E-05	0.957	0.027	0.016
	69.800	147.0	0.1844	0.6645E-05	0.957	0.027	0.016
	69.700	147.0	0.1869	0.6734E-05	0.957	0.027	0.016
	69.600	147.1	0.1894	0.6825E-05	0.957	0.027	0.016
	69.500	147.1	0.1920	0.6916E-05	0.957	0.027	0.016
	69.400	147.1	0.1946	0.7009E-05	0.957	0.027	0.016
	69.300	147.1	0.1972	0.7103E-05	0.957	0.027	0.016
	69.200	147.1	0.1999	0.7199E-05	0.957	0.027	0.016
	69.100	147.1	0.2026	0.7296E-05	0.957	0.027	0.016
	69.000	147.1	0.2053	0.7394E-05	0.957	0.027	0.016
	68.900	147.1	0.2081	0.7493E-05	0.957	0.027	0.016
	68.800	147.1	0.2109	0.7593E-05	0.957	0.027	0.016
	68.700	147.1	0.2137	0.7695E-05	0.957	0.027	0.016
	68.600	147.2	0.2166	0.7799E-05	0.957	0.027	0.016
	68.500	147.2	0.2195	0.7904E-05	0.957	0.027	0.016
	68.400	147.2	0.2225	0.8010E-05	0.957	0.027	0.016
	68.300	147.2	0.2255	0.8117E-05	0.957	0.027	0.016
	68.200	147.2	0.2286	0.8226E-05	0.957	0.027	0.016
	68.100	147.2	0.2316	0.8337E-05	0.957	0.027	0.016
	68.000	147.2	0.2348	0.8449E-05	0.957	0.027	0.016
	67.900	147.2	0.2379	0.8562E-05	0.957	0.027	0.016
	67.800	147.2	0.2412	0.8677E-05	0.957	0.027	0.016
	67.700	147.3	0.2444	0.8794E-05	0.957	0.027	0.016
	67.600	147.3	0.2477	0.8912E-05	0.957	0.027	0.016
	67.500	147.3	0.2510	0.9031E-05	0.957	0.027	0.016
	67.400	147.3	0.2544	0.9153E-05	0.957	0.027	0.016
	67.300	147.3	0.2579	0.9276E-05	0.957	0.027	0.016
	67.200	147.3	0.2614	0.9400E-05	0.957	0.027	0.016
	67.100	147.3	0.2649	0.9526E-05	0.957	0.027	0.016
	67.000	147.3	0.2685	0.9654E-05	0.957	0.027	0.016
	66.900	147.3	0.2721	0.9784E-05	0.957	0.027	0.016
	66.800	147.4	0.2758	0.9915E-05	0.957	0.027	0.016
	66.700	147.4	0.2795	0.1005E-04	0.957	0.027	0.016
	66.600	147.4	0.2833	0.1018E-04	0.957	0.027	0.016
	66.500	147.4	0.2871	0.1032E-04	0.957	0.027	0.016
	66.400	147.4	0.2910	0.1046E-04	0.957	0.027	0.016
	66.300	147.4	0.2949	0.1060E-04	0.957	0.027	0.016
	66.200	147.4	0.2989	0.1074E-04	0.957	0.027	0.016
	66.100	147.4	0.3029	0.1089E-04	0.957	0.027	0.016
	66.000	147.4	0.3070	0.1103E-04	0.957	0.027	0.016
	65.900	147.5	0.3111	0.1118E-04	0.957	0.027	0.016
	65.800	147.5	0.3153	0.1133E-04	0.957	0.027	0.016
	65.700	147.5	0.3196	0.1148E-04	0.957	0.027	0.016
	65.600	147.5	0.3239	0.1164E-04	0.957	0.027	0.016
	65.500	147.5	0.3283	0.1179E-04	0.957	0.027	0.016
	65.400	147.5	0.3327	0.1195E-04	0.957	0.027	0.016
	65.300	147.5	0.3372	0.1211E-04	0.957	0.027	0.016
	65.200	147.5	0.3418	0.1227E-04	0.957	0.027	0.016
	65.100	147.5	0.3464	0.1244E-04	0.957	0.027	0.016
	65.000	147.6	0.3510	0.1261E-04	0.957	0.027	0.016
	64.900	147.6	0.3558	0.1277E-04	0.957	0.027	0.016
	64.800	147.6	0.3605	0.1295E-04	0.957	0.027	0.016
	64.700	147.6	0.3654	0.1312E-04	0.957	0.027	0.016
	64.600	147.6	0.3703	0.1329E-04	0.957	0.027	0.016
	64.500	147.6	0.3753	0.1347E-04	0.957	0.027	0.016
	64.400	147.6	0.3803	0.1365E-04	0.957	0.027	0.016
	64.300	147.6	0.3854	0.1383E-04	0.957	0.027	0.016
	64.200	147.7	0.3906	0.1402E-04	0.957	0.027	0.016
	64.100	147.7	0.3959	0.1421E-04	0.957	0.027	0.016
	64.000	147.7	0.4012	0.1440E-04	0.957	0.027	0.016
	63.900	147.7	0.4066	0.1459E-04	0.957	0.027	0.016
	63.800	147.7	0.4121	0.1478E-04	0.957	0.027	0.016
	63.700	147.7	0.4176	0.1498E-04	0.957	0.027	0.016
	63.600	147.7	0.4232	0.1518E-04	0.957	0.027	0.016
	63.500	147.7	0.4289	0.1538E-04	0.957	0.027	0.016
	63.400	147.8	0.4347	0.1559E-04	0.957	0.027	0.016
